語録,使用方法,備考,
菅野美穂又はとんにくもしくはやほんぬ,好みの女性のタイプを訊かれた時にでも。豚肉を食べたくなったときに又は淫夢語録を誤って日常生活で使ってしまい隠すときに。他にも神のみぞやはんぬいいお風呂などがあり日本語を解析することもおそらく可能であろう。迫真空手部内で入浴した際に発した謎の空耳。「缶飲み放（缶ビール飲み放題）」「カンペ見ろ」「やんほぬ」「とんにく」など複数説あり。近年の音声分析の結果「あん、いい風呂」が有力視されたが反論もある。,,
†悔い改めて†,何かを戒める時に,四章の「いいよ、上がって上がって」の空耳。,
こ↑こ↓,ここに見て欲しいものがある時,「ここ↑ここ↓」や「こっ↑ここ↓」など、今も論争が絶えない,
これもうわかんねぇな,全く予測や相手の意図が読めない時に,日焼けしたかどうかよくわからないことを評した台詞,
この辺がセクシー…エロいっ!!,pixivに投下されたエロ絵を評価する時にでも使ったら?(投げやり),,
じゃけん…しましょうね～,何かをする予定を立てる時,空手部でMURに言った「じゃけん夜行きましょうね～」から。　「じゃけん」は「じゃ今日の」だと思われる。,
～(年齢)歳、(職業)です,自己紹介したい時に,24歳です。学生です。,
～して、どうぞ,相手に何かをさせる時,入って、どうぞ,
～スギィ!,何かの度が越している時,イキスギィ!,
～だからね、しょうがないね,真っ向な理由があってしょうがない時,野獣先輩の「大会近いからね、しょうがないね」から。全く同じ意味のスラングに仕方ないねがあるが、こちらはレスリングシリーズが元ネタ,
ちょっと歯ぁ当たんよ～,ナニが歯に当たっているとき,当てないで・・・ に続く,
で、出ますよ・・・,何かが出そうなとき,野獣の脱糞する直前の台詞。悲しくなった時、感動した時には(涙が)で、出ますよ・・・。など使われたりもする。,
出しちゃっていいっスか?,上記の続き,台詞の前後に(本気)・(全力)・(必殺技)・(最終奥義)と付けると強者感が出るゾ。,
ないです,ないと断定する時。(見たく)ないですなど拒絶・否定する場合。動詞の否定だけでなく、(少)ないですという使い方もある。,インタビューにおける、「浣腸っていうのは、やったことある？」への返答。,
伸びた?伸びない?,○○た?○○ない?と応用を利かせて使う。,遠野に今日の泳ぎの良し悪しを訊ねた時の台詞。ちなみに、徒競走などの競技の場合、タイムは「伸ばす」より「縮める」と言う方が正しい。,
ヌッ!,MURにしごかれて絶頂に達した時の呻き,気絶、絶命などの呻きとして使われる,
ぬわああん疲れたもおおおおおおん,疲れた時に,空手部・性の裏技の開幕早々の台詞,
白菜かけますね,白菜が必要な時,空耳。今のところ「背中から（お湯を）かけますね」説が最有力。,
はっきりわかんだね,確信している時に,日焼け痕がくっきりしていることを指摘した台詞。「はっきりわかるんだね」は誤り。,
ﾋﾀﾋﾀ…,地下室に幽閉された遠野に近寄る足音。,兄貴の本編でも聞こえる。(申レN),
Foo↑気持ちぃ～,後輩にイラマチオして悦に浸っているとき,,
ファッ!?,想定外の出来事に驚いた時に,遠野に、自分の胸にかけさせようとしたのが、勢いあまって顔にかかってしまった時の悲鳴,
ふたいたいは,普段通りであることを説明する時。,「普段、大体は」のことかと思われる。,
ブッチッパ,お察しください,糞だよ、糞・・・ていうか音であってセリフじゃないだろ!!,
ホラホラホラホラ,何かを強いる時に,ホラホラダンス,
ま、多少はね？,多少は許容しようよ的意味で,,
見とけよ見とけよ～,何かを勧める時に,,
焼けたかな？,日焼けの焼け具合を確認するとき,これもう分かんねぇな に続く,
810,114514に次ぐ神聖な数字,読みは以前は「はってん」、現在「やじゅう」,
やっぱ好きなんすねぇ(呆れ),第三者の好意を確信した時に,空手部の「先輩、こいつ玉とか舐め出しましたよ。やっぱ好きなんすねぇ」から,
辞めたくなりますよ～,嫌気がさしてきた時,辞めたくなりますよ部活ぅ～の改変,
やりますねぇ!,よくやるという意思表示をしたい時に,最近では、褒め称える「賛辞」の意味で使われることのほうが増えた。,
ンアッー!,恐怖、絶頂などの時の悲鳴,(≧Д≦)や野獣の咆哮などとも呼ばれる。,
はぇ～すっごいおっきい…,野獣邸など、大きい物を見た時,はえ～すっごい…までで使われることもある,
あぁ＾～いいっすねぇ＾～,相手の提案に同調した時,,
先輩!?何してんすか!止めて下さいよホントに!,先輩の暴走を止めたいとき,昏睡レイプに気付いた遠野の第一声,
フゥン!ホォン!ホォン!,,野獣とヤッてる時の独特の喘ぎ声。野獣の「オォン!アォン!」とセットで扱われ、コピペだと「なんだこいつら」に続く,
まずいですよ!,まずいと思った時に,遠野の台詞「田所さん!?ちょっとまずいですよ!」より,
当たり前だよなぁ?,当たり前の事だと強調する時に,MURのセリフ,
あっそうだ(唐突),話の切り出しに。,おいKMRァと続く。,
あっそっかぁ(池沼),自分では知らなかった・気付かなかったことに,,
いいゾ～これ,いいと思った時に,～の前に*^*がつくことも多い。,
嘘つけ絶対○○ゾ,相手の言い訳を否定するときに,元は「嘘つけ絶対見てたゾ」。「お前さっき俺(ら)がAしてるとき(チラチラ)Bしてただろ」の因縁を否定されたときに使おう(提案),
おい○○(人名)早くしろ～,相手を催促するときに。,TNOKの「あくしろよ」よりかは優しげ。,
お前さっき俺(ら)がAしてるとき(チラチラ)Bしてただろ,自分に隠れて相手が何かをしていたことを指摘するときに,元は「お前さっき俺らが着替えてるときチラチラ見てただろ」,
おっそうだな(適当),軽い肯定に。,受け流すときには(適当)をつけて、受け流さないときにはつけないほうがいいゾ～これ,
じゃあぶち込んでやるぜ,何かを投入したり突うずるっ込んだりしたいときに。,元はお察しください,
すっげぇ○○だったゾ～,過去の出来事を大げさに言いたいときに,元は「すっげぇきつかったゾ～」。,
そうだよ(便乗),便乗する時,これ以外の便乗では「脱げよ(便乗)」がある,
～だゾ,ホモ関連の知識や情報を強調する時,,
～だルルォ?,,MURの「嬉しいだルルォ!?(嬉しいだろう!?の空耳)」から,
ちゃんと○○しろ～？,相手にちゃんとしてほしいときに。,元は「ちゃんと二本咥え入れろ～？」,
どうすっかな～俺もな～,何かを迷っているときに。,本編では「空手部の練習があまりにもキツく、退部を考えている」シチュエーション。野獣の「やめたくなりますよ～」が冗談っぽいのに対し、MURのほうは深刻に見える見える。,
腹減ったなぁ,お腹がすいたときに。,最近では現実逃避の意味で使うことも。,
冷えてるか〜?,飲み物が冷えてるか確認するときに。,もともとは「ビールが冷えているか確認する」意味だったが、いつの間にか「(空気)冷えてるかー？」と煽りに使われるように。,
(震え声),虚勢を張ったり、無理のあるこじつけを言う時に,台詞「見たけりゃ見せてやるよ(震え声)」から,
見たけりゃ見せてやるよ,相手に何かを自慢したいときに。虚勢を張っているときは(震え声)をつけるとよい。,この逆の使い方で「見せたけりゃ見てやるよ」という言葉も最近チラチラ使われるようになった。,
364364,何かを見せつけたい時に,上記の台詞の直後、アレを見せつけた時に言った台詞「ホラ、見ろよ見ろよ」,
TDN,,,
オナシャス,何かを頼み込む時,「お願いします」を早口で言うとこうなる,
センセンシャル,詫びを述べる時,「すみませんでした」を早口で言うとこうなる,
自分、◯◯いいっすか?,何かをするときの許可を求める台詞,正確には「自分で入れていいすか？指」,
ワン(迫真),犬に成りきるとき,,
ﾝｷﾞﾓﾁﾞｲｲ!!,とても気持ちいいとき,,
アッー!,とても気持ちいいとき,一般人には発声不能,
TNOK,,,
おいゴルァ！,相手を威嚇するときに。,最近では何かがぶつかっただけで「おいゴルァ！」と書かれることが多い,
おう早くしろよ、あくしろよ,何かを急かす時,前者は「おう考えてやるよ」+「早くしろよ」から。後者は「早くしろよ」の空耳。ホモはせっかち,
お前初めてかここ(は)? 力抜けよ,にわかを見つけた時に,元ネタでは「ここ」は場所ではなく肛門を指す,
クルルァ,車(特に黒塗りの高級車)を指して,元ネタはTNOKが言った「車」が「クルルァ」と聞こえる為,
最後が気持ちよかった(小並感),気持ちが良かった時,小並感は「小学生並みの感想」の略語。（こなみかん）とも。ニコ動のコメントで末尾に(小学生並の感想)と付けられたことから。,
～だなぁ,何かを感じ取ったり回想する時,何か足んねえよなぁ/きたねぇケツだなぁ,
やだよ(即答),相手の要求を否定するときに,TDNに「免許証を返してください、オナシャス！」と言われ、素直になれなかったTNOKのセリフ。,
よーく見とけよ,相手によく見る事を促したい時。,TDNの有様を後輩に見せるときのセリフ。今や野獣の「見とけよ見とけよ」やMURの「見ろよ見ろよ」に取って代わられたクッソ存在感の薄いセリフ。,
あのさぁ…,呆れた時に。,白いのと黒いの、両方が同じセリフを発している,
こんなんじゃ商品になんないよ(棒読み),そこにあるものを貶す時に。,「商品」が時と場合に合わせて変えられる。,
○○してさ、終わりでいいんじゃない？,今していることを終わらせたい、終わりたいときに。,,
じゃあ俺、ギャラもらって帰るから,スレなどから立ち去るときに。,「ギャラもらって」はデカ枕詞。,
しゃぶれだァ!?コノヤロウ!てめえがしゃぶれよ!!!,「しゃぶれよ」の返し。ビデオ本編では「調子こいてんじゃねーぞこの野郎！ホモのくせによお、何が『しゃぶれ』だぁ？お前がしゃぶれよ！うまいんだろー？ほらしゃぶれよ」,真夏の夜の淫夢のVHSパッケージの裏表紙に載せられた文言。元はNSOKの台詞で、実際の本編中では「調子こいてんじゃねーぞこの野郎！(以下略)」となっている。なお字面からはわかりにくいが、呆れるほどの棒読み,
しゃぶれよ,何か誰かにしゃぶって欲しい時,DRVSの発言「しゃぶってよ、怒ってんの？」の変形,
調子こいてんじゃねーぞコノヤロー(棒読み),浮かれている人に。,ホモのくせによー何がしゃぶれだ？お前がしゃぶれよー(棒読み)と続く。,
なんだお前根性なしだな(棒読み),根性が足りないときに,,
はーい、よーいスタート(棒読み),何かを始めるときに。,音MADで、サビに入る直前によく使われる。,
(そんな＋形容詞＋名詞)恥ずかしくないの？(棒読み),相手の拙さを指摘するときに。,元は「そんな情けない格好恥ずかしくないの？(棒読み)」。初期にはDBの名前と掛けて「聡ずかしくないの」と書かれていた。,
窓際行って…シコれ(棒読み),相手を†悔い改め†させるときに。,KBTITの「堕ちろ！」と融合させて「窓際行って…落ちろ」とされることもある。,
○○も～ないの?そんなんじゃ甘いよ(棒読み),玄人がにわかに格の違いを見せつける時,元は「フェラもできないの？そんなんじゃ甘いよ(棒読み)」,
ｱｰﾂﾒﾀｲ,水風呂に入るとき,,
ああ逃れられない!(カルマ),因果応報であることを悟るとき,,
ああ＾～もうおしっこ出ちゃいそう!(半ギレ),失禁しそうなとき,,
あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛も゛う゛や゛だ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛！！！！！（デスボイス）,ケツにロウソク垂らされて熱さに耐えきれなくなったとき,,
痛いんだよおおおおおおおおおおおお！！！！！（マジギレ）,ケツを竹刀で叩かれる痛みに耐えきれなくなったとき,,
うー☆うー☆,,自分の排泄物を塗りたくられた時の悲鳴,
ヴォエ!,気持ち悪いものを見たときに,自分の排泄物を塗りたくられた時のえずき,
溺れる!溺れる!,水かなんかに溺れそうな時に,溺れるわけねえだろ,
ゲッ靴下もかよ…(小声),靴下を脱げと言われた時,※撮影中です。ひでしね,
この人頭おかしい…(小声),意味不明な事を言われた時,※撮影中です。ひでしね,
これが、ご褒美なのぉ…なんか犯されてるよぉ,後背位で犯されているとき,,
そんなことしたらパパに怒られちゃうだろ!,失禁を許可されたとき,,
ダイナマイッ!!,,,
◯◯しなきゃ(使命感),何かをしなくちゃいけないと感じた時に,ひでの「はやく帰って宿題しなきゃ」から,
ねー2個はいんない,2個入らない時,尻に特大ビーズを入れられたが2個目の球体が入らなかった,
ぼくひで,自己紹介,ひでを朴秀(パク・ス)という韓国人みたいな扱いをするネタなどにも使われる。,
ほんとぉ?(狂気),地獄で蜘蛛の糸を見つけたとき,「あぁ、本当だよ。お前と違って嘘つかないからな、おじさんは。(皮肉)」と続く,
やだ、やだ、ねぇ小生やだ!!,自分の排泄物を塗りたくられそうになったとき,「ねぇちょっとやだ！」の空耳,
やめちくり～(挑発),まんざらでもないのに嫌がる振りをしたい時に,関西や九州など西日本(?)の方言で「やめてくれ」の意,
ライダー助けて!,ライダーに助けを求めるときに,「誰か助けて!」の空耳,
動くと当たらないだろ!,,ひでのケツにロウソクを垂らしてるときの台詞。FPSやSTGなどの淫夢実況でよく使われる,
えぇ…(困惑),呆れたり戸惑ったりしたときに,OGMMのセリフの一部分にも「えぇ…」がある。,
おじさんのこと本気で怒らせちゃったね,,ライダー助けて!と叫んだひでに対する憤怒,
気持ちよくできましたか…？(小声),,豹変する一歩手前のセリフ。できませんでした…→でしょ？→じゃあオラオラ(ryと続く。,
自分から入っていくのか…(困惑),,水風呂に自分から入っていたひでに対する反応,
じゃあオラオラ来いよオラァ!!!!(豹変),,おじさん「気持ちよく出来ましたか…?」ひで「出来ませんでした…」に対する激怒,
ムチ痛いのは分かってんだよオイオラァァァァァァ!!(激怒) YO!(日顕),,痛いんだよおおおおおおおおおおおお！！！！！とマジギレしたひでに対する逆ギレ,
わかる？突っ込め。突っ込めって言ってんの、ね？突っ込めって言ってんだよォ！,,ひでへ便器に尻を突っ込むよう強要するときの台詞。こちらもFPSやSTGなどの淫夢実況で使われることがある,
ありがとナス,誰かに感謝したい時,おそらく「ありがとうございます！」,
意外と早く堕ちたな～(嬉しい誤算),相手が予想に反して早く堕ちたときに。,このあと「堕ちたフリしてんじゃねぇのか？」と続くこともある。,
ウッソだろお前ｗｗ,相手・事象を嘲笑うときに。,本来淫夢界隈では草を生やしてはいけないが、この語録を含めて3つほど草を生やすことが許されている。,
おいにゃんにゃんにゃん！,猫キャラが出てきたときに。,いわゆる空耳。淫夢七不思議(大嘘)の一つであり、未だに何と言っているか解明していない。有力説として「おい何やってんだ」がある。,
おじ↑さん↓だとふざけんじゃねぇよお前!お兄さんだろォ!?,三十路前後でおじさんと言われたとき,哀れ。,
堕ちろ！,相手を堕とすときに。,「落・墜」ちろ→物理的に落ちる　「堕」ちろ→精神的に堕とす。「堕ちたな」とセットで使われることが多い。,
お前はもうこっから出れないんだよ!,閉鎖空間などに誰かを閉じ込めたとき,ブラック企業ネタでよく使われる。,
お前もう生きて帰れねぇな?,拉致監禁強姦殺人をするとき,,
かしこまり!,依頼を受けるときに。,虐待おじさんにビールを頼まれて発したセリフ。,
悲しいなぁ…(諸行無常),悲しい出来事に。,楽しいなぁの空耳。,
カミ(髪・神)なんか必要ねぇんだよ！,トオルを丸刈りにするときのセリフ。,「神」のほうがよく使われる傾向にある。どこかの死神つながりだろうか。,
噛みやがったなオイ！,何かに指を噛まれた(挟まれた)とき,本編では物理的に噛まれて発していた。淫夢(クッキー☆)界隈では男優や声優が台詞を噛んだときに使われる。,
キモティカ?(古代都市)キモティ＝ダロ?(古代遺跡)for iPhone?,主に煽りに使われる,「for iPhone」の部分は「お前、おぉん？」と言っている説が有力,
殺されてぇかお前オォン!?,ラグビー部員を調教するとき,,
最後の一発くれてやるよオラ!,とどめを刺すときなど,B●eachネタと絡めて使われることが多い,
○○しなきゃ(使命感),何かをしなければいけないときに。,元ネタ：縛らなきゃ(使命感),
ジュージューになるまで焼くからな?(ウェルダン),肉を焼くとき,「従順になるまでやるからな?」の空耳。,
つべこべ言わずに来いホイ,有無を言わさず連行するときに。,まさよしくんを3万円で買った後のセリフ。,
もう許せるぞオイ!,許せる時に,「もう許せんぞオイ！」の空耳。続き：もう許さねぇからな?(豹変),
あぁ^～,変態糞親父,堪らないときに。,恐らく「あぁ～～」と打とうとしてShiftキーを押すタイミングがずれたために発生したものだと思われる。　※「～」はShiftキーと「＾」を押すと出る
ああ＾～うめえなぁ！,軍畑先輩,何かを称賛するときに。,後輩たちに全裸で買いに行かせたジュースを飲んで発した。
あぁ落ちたねぇ、落ちましたね……,NKTIDKSG,何かしら落ちたとき。,NKDKが胸囲を訊かれた際、「110弱」と自称していたが、測ったときには100ピッタリくらいだったため。最初の「あぁ」がない場合も少なくない。
あーもうめちゃくちゃだよ(憤怒),野獣父,めちゃくちゃだと感じたときに,SGWに届けさせた書類が濡れていた為に発した言葉。
あっ…(察し),インタビューアー,何かまずいものを察した時に,野獣先輩のインタビューで、24歳で学生というプロフィールを聞いた時のインタビュアーの台詞。おそらく留年なり浪人なりしている事情を察したものと思われる。院生や医学生という可能性もないではないが…
アツゥイ！,KYN,"熱い(厚い,暑い)ときに。",全文：ハッ…ハッ…アッー！アーツィ！アーツ！アーツェ！アツゥイ！ヒュゥー、アッツ！アツウィー、アツーウィ！アツー、アツーェ！すいやせへぇぇ～ん！アッアッアッ、アツェ！アツェ！アッー、熱いっす！熱いっす！ーアッ！熱いっす！熱いっす！アツェ！
いかんのか？,イニ義893,していいことか確認するときに。,対義語：してはいけない(戒め)
いいだろお前成人の日だぞ,AKYS,相手に咎められてもなお押し通すときに。,本当は「いいだろお前囚人の身だぞ」
インテル長友,コメント,長友佑都のあだ名,野獣先輩に似ているという風評被害から。
いや～キツイっす,課長,自分がするには難儀なことに。,ここだけ素に戻っている。よく虐待おじさんのセリフと間違われる。
うせやろ？,関西クレーマー(カーリー),,関西クレーマーの滑舌の悪さから来る「嘘やろ？」の空耳。類義語：ウッソだろお前ｗｗ
うるせぇ！,TKNUC,大きな音が鳴った時に。,金泰均を罵るときに使われた。
ｳﾚｼｲ…ｳﾚｼｲ…,OGMM,嬉しいときに。,元ネタはコブラ三木谷に掘られて発したクッソ汚い言葉。半角で書くのがポイント。(ﾆﾁﾆﾁ)と続くことも。　対義語：ｶﾅｼｲ…ｶﾅｼｲ…
うん、美味しい！,ナイナイ岡村(関西クレーマーの友人),動画の質がいいときや、食べたものがおいしかった時に。,中野くんの焼いた肉を食べた感想。
エンジン全開！,AKYS,気合を入れるときに,本当は「返事せんかい！」
お前一番～って言われてるぞ,清野大地,散々言われてる事を耳にした時。,後輩(ECZN)イビリの際のセリフから。 元のセリフ：お前一番態度悪いって言われてるぞ
お前精神状態おかしいよ…,高校生君,マジキチな動画や事象、人物に対して扱われる。,返し：それは君の錯覚だよ
お前ホモか！(歓喜),－,仲間を発見したときに,元ネタは「お前ノンケかよぉ？！(驚愕)」。発言者はでこっぱち君。
終わり！閉廷！以上！皆解散！,閉廷おじさん(花岡じった),何かを締めたいときに。よくMADの終わりに使われる。,この本編にONDISKも出演している。
～かな?(すっとぼけ),－,何かを聞くときに。,「桃かな？」「ケツでしょ。」の問答から
～か何か？,TRN,上に同じ。,患者であるNTにケガの原因を聞くときのセリフ。→そう…(無関心)
金!暴力!SEX!,KBSトリオ,音MADで、リズムを取りたいときに。,自称S(黒服)によると、「監督に「チャラい雰囲気出して」と言われて言った、アドリブ」らしい。
ガバガバ,ECZN,体制や規定、動画のクオリティ、または*などが緩んでいるときに。,類義語：だらしねぇな
きしょい…,ケツデカ課長,気持ち悪い描写に対して。,ケツデカピングーで漂白剤兄貴が生み出した語録。「気持↑ちいいー↓…」(ｸﾞﾉｼｰ…)の逆再生。
ｷﾓｯ…(本音)ﾁｸﾃ…(軌道修正),ガバ穴ダディー,悪口を濁すときに。,ヤメロォ(建前)ナイスゥ(本音)と似たような使い方。
嫌いじゃないけど好きじゃないよ,RU姉貴,好きでも嫌いでもない時に,淫夢の風評被害を食らったクッキー☆から。アレンジとして「好きだけど嫌いじゃないよ」「嫌いじゃないけど嫌いだよ」など。これもうわかんねぇな…
草不可避,－,爆笑した時,○○で草、草生える、大草原、草を禁じ得ない、もう草など表記ゆれ多数　草＝w　元々は2ちゃんねるのスラング。時折ニュースに取り上げられる。そんなことしなくていいから(良心)
クッソ汚い◯◯,－,汚すぎると強調したい時に。,「クッソ」の由来としては、AKYSの「クッソ靴下」(靴と靴下)だと思われる。
警察だ！,ホモコップ,,淫夢語録の誤用を取り締まるときに使われる傾向にある。例：んにゃぴ警察、ブツチチ警察
こいついつも◯◯してんな,－,同じ行為をいつも繰り返す相手に対して。,本来は、野獣先輩の「ぬわああああ疲れたもおおおおおおおん」に対するコメント。　参照：こいついつも疲れてんな
ここすき・ここすこ・これすき,－,好きという意思表示に。,「○○きらい」として扱われる事も。「ここすこ」はタイプミス。
子供のホモは観るかもしれない,EMT,子供向けの動画の淫夢MADに向けて言われる。,EMTくんが、「超人サイバーZ」のメイキングで発した名言。
この◯◯に淫夢要素はありません(大嘘),－,淫夢要素が思いっきりあるものを紹介する時。,参照：ホモは嘘つき
こマ?,(KBTITに対するコメント),これマジ?の略。目を疑うような事象に。,それマジ？を「そマ？」とすることも。
これは～ですねぇ…,R大学野球部監督,何か怪しいものを邪推した時。,「うわあ…、これはAですね」と、ホモビデオ出演者を部員だと認めた時の台詞。「なんだこれは、たまげたなぁ」と続くこともある。
こわいなーとづまりすとこ,ともや,何かから逃げたいときに。,本当は「怖いなー戸締りしとこ」。鼻詰まりのせいでこう聞こえる。方言ではない。
36、普通だな！,清野大地,普通な時に。後半の部分だけでも用いられる。,本編ではECZNのナニの直径をテンプレートで測った時の測定値。「36」が普通でないときには「異常だな！」
3人はどういう集まりなんだっけ？,TDN・DB・HTNのインタビューアー,動画内で3人組が出たときによく使われる。,これの返しとしては「アメフト部ゥ…」が正解。「ｱﾒﾌﾄｫ…」は誤り。
～してはいけない(戒め),淫乱テディベア,自分の過去の過ちを反省する時,同氏のインタビュー内の、「してはいけない場所でするっていうか…」が略されて現在に至る。
じゃあ、死のうか(暗黒微笑),MNR,とどめを刺す時,全文は「気持ちよかったんだね…よかった、じゃあ、死のうか」。(暗黒微笑)の部分が(無慈悲)と記されることもある。
～しよう(提案),平野源五郎,何かを提案するとき。,「今日は逆さ吊り、ムチ攻めをしよう」
冗談はよしてくれ(タメ口),中野くん,相手がシャレにならない事をやらかそうとしてる時,おそらく「よしてください」だと思われる。
初心者の◯◯,オークション男,初心者の何者かを紹介する時,オークションの際に金額を出し渋る客に対して放った「渋いなぁ～初心者のM！」から。
すいません許してください!何でもしますから!,MYN,「何でもする」ことで、上への報告を免れたいときに。,返し→ん?今何でもするって言ったよね?
ステロイドハゲ,－,薬中のハゲ全般,主に野獣先輩の事を指す。
先輩!好きッス!,健太,憧れの先輩に告白する時に。,言われた先輩は「俺もお前が好きだ」と返してあげよう。
そう・・・(無関心),TRN,あまり興味がないことに、とりあえず返す時に。,本編(時計仕掛けの外科室)では、NTにケガの原因を聞いておいて、彼が答えたにもかかわらずこの返答をしていた。
訴訟、訴訟も辞さない,－,自分が詐欺や風評被害などを食らって、相手を訴えたい時。,「訴訟(きそ)」と書くとUDK姉貴のネタになる。
そんなことしちゃあダメだろ！,マジメ君,してはいけない(戒め)とあまり変わらない。,もとは、病院を抜け出した彼氏に対していった「そんなこと言って来ちゃダメだろ！」
そんなことしなくていいから(良心),TRN,わざわざする必要がないことを喚起したいときに。,元ネタは上記の「そう…(無関心)」と共に、『時計仕掛けの外科室』のTRNが言ったセリフから。
ダイナモ感覚,YOU_THE_ROCK★,音MADで多く使われる。,キメセクしたら感じられるらしい(適当)
～だからヘーキヘーキ,GO,大したことじゃないよと言いたい時,動揺するSIYを安心させるときのGOのセリフから
多分～だと思うんですけど(名推理),ホリ・トオル,当たってると思う予想を言う時,多分変態だと思うんですけど(名推理)
たまげたなあ…,R大学野球部監督,びっくりした時に。,部員(TDN)らが出ているホモビデオを見せられた時に発した。
誰？,-,誰？,AKNMを見た視聴者が放ったコメントから。クッキー☆におけるJOKER姉貴に対して言うことも。
～だろ!いい加減にしろ!,YOU_THE_ROCK★,相手が誤解しているのを修正する時,原文：違うだろ！いい加減にしろ！
違うだろぉ？,島田部長,相手の言ったことをやんわり否定したいときに。この後「言うてみーや○○って」と続くことも。,過激版
ちかえし,金泰均,「仕返し」のこと。,滑舌が悪いためこう聞こえる。全文は「じゃあ今までのちかえしをたっぷりとさせてもらおうじゃないか」
乳首感じるんでしたよね?,ゆうさく(ACCEED),←乳首感じるんでしたよね？,乳首感じるんでしたよね？→
ちょっと待って！,関西クレーマー(カーリー),誰かを呼び止めるときに。,食べかけのピザを配達して去ろうとしたバイトを呼び止めていた。
つよい、つよそう,－,見た目的にそれっぽく感じた時に。,平仮名表記がポイント。AKYSの本編やバトル淫夢でよく出るコメント。
～ってなんだよ(哲学),とおる,ある事象の発端・存在意義などが見えなくなった時に。,本編のセリフは「ラグビーってなんだよ(哲学)」。クッソ面倒くさそうにしていた。
～ですけどぉ…,SNJ or ホリ・トオル,相手に報告したいときに。,「すいませぇ～ん…木下ですけどぉ…」or「自分の部屋にぃ変態ゆっ、変態郵便屋が入り込んでるんですけどぉ…」
デデドン!(絶望),SE,絶望的なシーンに,「糞と少年」で流れた著作権ロイヤリティーフリーの音源より。本編では関係ないがピンキーの効果音として使われることが非常に多い。
なぜ女なんだ,R大学野球部監督,自称ホモが美少女を取り上げた時。,元ネタ：なぜ男なんだ
なめてんじゃねーぞ,KMR,ナメられてると思った時に。,語頭に「オラァ」がつけられることもある。
～なんだよね、それ一番言われてるから,清野大地,一般論であると強調したいときに。,「～ってそれ一番言われてるから」は誤り。
～なんですがそれは,HTN,相手の意見をやんわりと否定したり疑問を投げかけるときなど,原文：「マジでこれウンコ出…出ちゃいそうな勢いなんですけどそれは大丈夫なんですかね?」
なんで見る必要なんかあるんですか,KMR,見たくないものに。,本編「空手部・性の裏技」で、MURがつけた因縁「お前さっき俺らが着替えてるときチラチラ見てただろ」、「嘘つけ絶対見てたゾ」に対する反論。　「なんで見る必要があるんですか」は誤り。
ナンボなん？,関西クレーマー,ものの値段を尋ねるときに。,本編：職場淫猥白書9 赤城不動産編
人間の鑑,－,尊敬に値する人物に,実際には大したことがなくても大げさに賞賛する
人間の屑,(AKYS),軽蔑に値する人物に,実際には大したことがなくても大げさに非難する。こちらには元ネタがある。AKYSの「人間の屑がこの野郎…」から。
ねねねね、○○って楽しい？,SNJ,今行っていることが楽しいかどうか聞くときに。,本来は楽しいかどうかを聞くものだが、NDK(ねぇどんな気持ち？)のように煽りでも用いられる。
は？（威圧）,(スタッフ?),相手の反論を潰したいときに。,MRKM先生に宿直を強要したときのセリフ。
